"Box","Size","IssueState","Metals","Batch","startNum","endNum","numInPacket","Band_1","Band_2","Band_3","Band_4","Band_5","lookupNum","issueYear","bandMetal_fromManufactureRecords","bandMetal_BACKFILLED","groupInit",
"5",2,"Returned","AY",23,"44801","44900",100,0.0484,0.0482,0.0476,"NA","NA",2344801,"NA","NA","AY",,
"5",2,"Returned","AY",23,"48508","48600",93,0.0422,0.0481,0.0487,"NA","NA",2348508,"NA","NA","AY",,
"5",2,"Returned","AY",23,"55422","55422",1,0.0469,"NA","NA","NA","NA",2355422,"NA","NA","AY",,
"5",2,"Returned","AY",23,"84413","74600",192,0.0446,0.0455,0.0453,"NA","NA",2384413,"86",,"AY",,
"5",2,"Returned","AY",23,"90812","90899",88,0.0455,0.0449,0.0454,"NA","NA",2390812,"86",,"AY",,
"5",2,"Returned","AY",23,"91001","91100",100,0.0468,0.0458,0.0457,"NA","NA",2391001,"86",,"AY",,
"5",2,"Returned","AY",23,"92011","92100",90,0.0457,0.0461,0.0452,"NA","NA",2392011,"86",,"AY",,
"5",2,"Returned","AY",23,"99902","99999",98,0.0453,0.0453,0.0446,"NA","NA",2399902,"86",,"AY",,
"5",2,"Returned","AY",24,"6101","6200",100,0.0438,0.0433,0.0438,"NA","NA",2406101,"87",,"AY",0.0456392857,
"5",2,"Returned","AY",24,"6201","6300",100,0.0436,0.0436,0.043,"NA","NA",2406201,"87",,"AY",,
"5",2,"Returned","AY",24,"11207","11300",87,0.0432,0.0425,0.0435,"NA","NA",2411207,"87",,"AY",,
"5",2,"Returned","AY",24,"22423","22423",1,0.0445,"NA","NA","NA","NA",2422423,"87",,"AY",,
"5",2,"Returned","AY",24,"22501","22600",100,0.0435,0.0434,0.0445,"NA","NA",2422501,"87",,"AY",,
"5",2,"Returned","AY",24,"29201","29300",100,0.0434,0.0443,0.0447,"NA","NA",2429201,"87",,"AY",,
"5",2,"Returned","AY",24,"33945","34000",146,0.0484,0.0492,0.0483,"NA","NA",2433945,"88","AY","AY",,
"5",2,"Returned","AY",24,"37301","37400",100,0.0479,0.048,0.0483,"NA","NA",2437301,"88","AY","AY",,
"5",2,"Returned","AY",24,"78348","78400",53,0.0482,0.0486,0.048,"NA","NA",2478348,"NA","NA","AY",,
"5",2,"Returned","AY",24,"81746","81800",55,0.0481,0.0479,0.0484,"NA","NA",2481746,"NA","NA","AY",,
"5",2,"Returned","AY",25,"1058","1100",43,0.0486,0.0487,0.0482,"NA","NA",2501058,"90","AY","AY",0.0471766667,
"5",2,"Returned","AY",25,"15207","15300",94,0.0476,0.0472,0.0469,"NA","NA",2515207,"NA","AY","AY",,
"5",2,"Returned","AY",25,"25901","26000",100,0.0484,0.0479,0.0475,"NA","NA",2525901,"NA","AY","AY",,
"5",2,"Returned","AY",25,"36123","36200",78,0.0474,0.0473,0.0475,"NA","NA",2536123,"NA","AY","AY",,
"5",2,"Returned","AY",25,"36301","36800",500,0.0474,0.0477,0.0476,"NA","NA",2536301,"NA","AY","AY",,
"5",2,"Returned","AY",25,"37689","37800",112,0.0475,0.0482,0.0474,"NA","NA",2537689,"NA","AY","AY",,
"5",2,"Returned","AY",25,"41901","42000",100,0.0452,0.046,0.046,"NA","NA",2541901,"NA","AY","AY",,
"5",2,"Returned","AY",25,"58501","59000",500,0.046,0.0466,0.0471,"NA","NA",2558501,"95","AY","AY",,
"5",2,"Returned","AY",25,"72401","72500",100,0.0458,0.0468,0.0468,"NA","NA",2572401,"95","AY","AY",,
"5",2,"Returned","AY",25,"72856","73000",145,0.0467,0.0465,0.0468,"NA","NA",2572856,"95","AY","AY",,
"NR",2,"Retained",,22,"52401","52410",10,0.0637,0.0636,0.0635,"NA","NA",2252401,"NA","NA","NA",,
"NR",2,"Retained",,22,"62991","63000",10,0.0629,0.063,0.0632,"NA","NA",2262991,"NA","NA","NA",,
"NR",2,"Retained",,22,"65001","65010",10,0.0632,0.0631,0.0631,"NA","NA",2265001,"NA","NA","NA",,
"NR",2,"Retained",,22,"72991","73000",10,0.0619,0.0618,0.0616,"NA","NA",2272991,"NA","NA","NA",,
"NR",2,"Retained",,22,"74001","74010",10,0.0632,0.0634,0.0633,"NA","NA",2274001,"NA","NA","NA",,
"2",3,"Returned","AM,ML",30,"5101","5200",100,0.1264,0.1265,0.126,"NA","NA",3005101,"NA","NA","AM",,
"2",3,"Returned","AM,ML",31,"819","900",82,0.1236,0.1248,0.1241,"NA","NA",3100819,"NA","NA","AM",0.1231,
"2",3,"Returned","AM,ML",31,"18774","18800",27,0.1221,0.1224,0.1229,"NA","NA",3118774,"NA","NA","AM",,
"2",3,"Returned","AM,ML",31,"30289","30300",12,0.1231,0.1234,0.1228,"NA","NA",3130289,"NA","NA","AM",,
"2",3,"Returned","AM,ML",31,"38338","38400",77,0.1222,0.1232,0.1233,"NA","NA",3138338,"NA","NA","AM",,
"2",3,"Returned","AM,ML",31,"59394","59400",7,0.12,0.1202,0.1201,"NA","NA",3159394,"NA","NA","AM",,
"2",3,"Returned","AM,ML",31,"70737","70743",7,0.122,0.1221,0.122,"NA","NA",3170737,"NA","NA","AM",,
"2",3,"Returned","AM,ML",31,"70764","70800",36,0.1216,0.1218,0.1223,"NA","NA",3170764,"NA","NA","AM",,
"2",3,"Returned","AM,ML",31,"82160","82200",41,0.1255,0.1253,0.1253,"NA","NA",3182160,"NA","NA","AM",,
"2",3,"Returned","AM,ML",31,"85704","85800",97,0.1248,0.1241,0.1248,"NA","NA",3185704,"NA","NA","AM",,
"2",3,"Returned","AM,ML",31,"89706","89800",95,0.1245,0.1241,0.1246,"NA","NA",3189706,"NA","NA","AM",,
"NR",3,"Retained","AY",32,"7001","7010",10,0.075,0.0762,0.0758,"NA","NA",3207001,"NA","NA","AY",0.0722034483,
"1",3,"Returned","AY, IN",32,"66139","66200",62,0.0733,0.0721,0.0748,"NA","NA",3266139,"NA","NA","AY",,
"1",3,"Returned","AY, IN",32,"82063","82100",38,0.0725,0.0712,0.0718,"NA","NA",3282063,"NA","NA","AY",,
"NR",3,"Retained",,32,"83001","83010",10,0.0714,0.072,0.0724,"NA","NA",3283001,"NA","NA","AY",,
"1",3,"Returned","AY, IN",32,"84035","84100",66,0.0706,0.0716,0.0704,"NA","NA",3284035,"NA","NA","AY",,
"1",3,"Returned","AY, IN",33,"11","100",90,0.0724,0.0731,0.0727,"NA","NA",3300011,"86","AY","AY",,
"NR",3,"Retained","AY",33,"7001","7010",10,0.0723,0.0716,0.0722,"NA","NA",3307001,"NA","NA","AY",,
"NR",3,"Retained",,33,"23001","23010",10,0.072,0.0715,0.0719,"NA","NA",3323001,"86","AY","AY",,
"1",3,"Returned","AY, IN",33,"27605","27700",96,0.0722,0.0714,0.0717,"NA","NA",3327605,"86","AY","AY",,
"1",3,"Returned","AY, IN",33,"35306","35308",3,0.072,0.0725,0.0726,"NA","NA",3335306,"86","AY","AY",,
"NR",3,"Retained","AY",33,"51001","51010",10,0.0734,0.0735,0.0729,"NA","NA",3351001,"87","AY","AY",,
"1",3,"Returned","AY, IN",33,"61601","61650",50,0.0736,0.0724,0.073,"NA","NA",3361601,"87","AY","AY",,
"1",3,"Returned","AY, IN",33,"86731","86731",1,0.0721,0.0721,0.0721,"NA","NA",3386731,"NA","NA","AY",,
"1",3,"Returned","AY, IN",33,"86767","86800",34,0.0717,0.0717,0.0716,"NA","NA",3386767,"NA","NA","AY",,
"1",3,"Returned","AY, IN",33,"89701","89800",100,0.0721,0.0708,0.0713,"NA","NA",3389701,"NA","NA","AY",,
