"Box","Size","IssueState","Metals","Batch","startNum","endNum","numInPacket","Band_1","Band_2","Band_3","Band_4","Band_5","lookupNum"
"2",3,"Returned","AM,ML","030","64922","46990",69,0.1114,0.1127,0.1118,"NA","NA","03064922"
"2",3,"Returned","AM,ML","030","67503","67600",98,0.1119,0.1123,0.1123,"NA","NA","03067503"
"2",3,"Returned","AM,ML","030","71053","71100",48,0.1123,0.1119,0.1116,"NA","NA","03071053"
"2",3,"Returned","AM,ML","030","73227","73300",74,0.1089,0.1091,0.1093,"NA","NA","03073227"
"2",3,"Returned","AM,ML","030","88714","88800",87,0.1106,0.1097,0.1101,"NA","NA","03088714"
"2",3,"Returned","AM,ML","030","96632","96700",69,0.1145,0.1143,0.1127,"NA","NA","03096632"
"2",3,"Returned","AM,ML","030","96810","96900",91,0.1142,0.1135,0.1142,"NA","NA","03096810"
"2",3,"Returned","AM,ML","031","00819","00900",82,0.1236,0.1248,0.1241,"NA","NA","03100819"
"2",3,"Returned","AM,ML","031","18774","18800",27,0.1221,0.1224,0.1229,"NA","NA","03118774"
"2",3,"Returned","AM,ML","031","30289","30300",12,0.1231,0.1234,0.1228,"NA","NA","03130289"
"2",3,"Returned","AM,ML","031","38338","38400",77,0.1222,0.1232,0.1233,"NA","NA","03138338"
"2",3,"Returned","AM,ML","031","59394","59400",7,0.12,0.1202,0.1201,"NA","NA","03159394"
"2",3,"Returned","AM,ML","031","70737","70743",7,0.122,0.1221,0.122,"NA","NA","03170737"
"2",3,"Returned","AM,ML","031","70764","70800",36,0.1216,0.1218,0.1223,"NA","NA","03170764"
"2",3,"Returned","AM,ML","031","82160","82200",41,0.1255,0.1253,0.1253,"NA","NA","03182160"
"2",3,"Returned","AM,ML","031","85704","85800",97,0.1248,0.1241,0.1248,"NA","NA","03185704"
"2",3,"Returned","AM,ML","031","89706","89800",95,0.1245,0.1241,0.1246,"NA","NA","03189706"
"1",3,"Returned","AY, IN","032","30456","30456",1,0.148,"NA","NA","NA","NA","03230456"
"1",3,"Returned","AY, IN","032","30701","30750",50,0.1496,0.1495,0.1484,"NA","NA","03230701"
"1",3,"Returned","AY, IN","032","31011","31050",40,0.1476,0.1493,0.1505,"NA","NA","03231011"
"1",3,"Returned","AY, IN","032","39551","39600",50,0.1671,0.1487,0.1626,"NA","NA","03239551"
"1",3,"Returned","AY, IN","032","39601","39650",50,0.1647,0.1649,0.1615,"NA","NA","03239601"
"1",3,"Returned","AY, IN","032","49701","49800",100,0.1637,0.1691,0.1664,"NA","NA","03249701"
"1",3,"Returned","AY, IN","032","62062","62100",39,0.1578,0.1588,0.1592,"NA","NA","03262062"
"1",3,"Returned","AY, IN","032","66139","66200",62,0.0733,0.0721,0.0748,"NA","NA","03266139"
"1",3,"Returned","AY, IN","032","82063","82100",38,0.0725,0.0712,0.0718,"NA","NA","03282063"
"1",3,"Returned","AY, IN","032","84035","84100",66,0.0706,0.0716,0.0704,"NA","NA","03284035"
"1",3,"Returned","AY, IN","033","00011","00100",90,0.0724,0.0731,0.0727,"NA","NA","03300011"
"1",3,"Returned","AY, IN","033","27605","27700",96,0.0722,0.0714,0.0717,"NA","NA","03327605"
"1",3,"Returned","AY, IN","033","35306","35308",3,0.072,0.0725,0.0726,"NA","NA","03335306"
"1",3,"Returned","AY, IN","033","61601","61650",50,0.0736,0.0724,0.073,"NA","NA","03361601"
"1",3,"Returned","AY, IN","033","86731","86731",1,0.0721,0.0721,0.0721,"NA","NA","03386731"
"1",3,"Returned","AY, IN","033","86767","86800",34,0.0717,0.0717,0.0716,"NA","NA","03386767"
"1",3,"Returned","AY, IN","033","89701","89800",100,0.0721,0.0708,0.0713,"NA","NA","03389701"
"1",3,"Returned","AY, IN","033","90606","90700",95,0.0719,0.072,0.0716,"NA","NA","03390606"
"1",3,"Returned","AY, IN","033","94801","94900",100,0.0719,0.0719,0.0715,"NA","NA","03394801"
"1",3,"Returned","AY, IN","033","95201","95300",100,0.0714,0.0714,0.0721,"NA","NA","03395201"
"1",3,"Returned","AY, IN","034","00317","00400",84,0.0721,0.0716,0.0719,"NA","NA","03400317"
"1",3,"Returned","AY, IN","034","10386","10393",8,0.0718,0.0719,0.0719,"NA","NA","03410386"
"1",3,"Returned","AY, IN","034","23296","23300",5,0.0719,0.072,0.072,"NA","NA","03423296"
"1",3,"Returned","AY, IN","034","23301","23350",50,0.0722,0.0721,0.0722,"NA","NA","03423301"
"1",3,"Returned","AY, IN","034","31505","31550",46,0.0722,0.0735,0.0722,"NA","NA","03431505"
"1",3,"Returned","AY, IN","034","31852","31900",49,0.072,0.0724,0.0723,"NA","NA","03431852"
"1",3,"Returned","AY, IN","034","38747","38750",4,0.0723,0.0722,0.072,"NA","NA","03438747"
"1",3,"Returned","AY, IN","034","41011","41050",40,0.0722,0.0723,0.0722,"NA","NA","03441011"
"1",3,"Returned","AY, IN","034","41051","41100",50,0.0723,0.0727,0.0723,"NA","NA","03441051"
"1",3,"Returned","AY, IN","034","67651","67700",50,0.0711,0.0714,0.0714,"NA","NA","03467651"
"12",4,"Returned","AM","040","00873","00891",19,0.1254,0.1265,0.1268,"NA","NA","04000873"
"12",4,"Returned","AM","040","68624","68650",27,0.1354,0.135,0.1358,"NA","NA","04068624"
"12",4,"Returned","AM","040","13912","13999",88,0.1305,0.1285,0.1294,"NA","NA","04013912"
"12",4,"Returned","AM","040","79310","79350",41,0.1386,0.1386,0.1393,"NA","NA","04079310"
"12",4,"Returned","AM","040","85801","85900",100,0.1421,0.1418,0.1409,"NA","NA","04085801"
"12",4,"Returned","AM","040","05895","05900",5,0.125,0.1251,0.125,"NA","NA","04005895"
"12",4,"Returned","AM","040","78211","78218",8,0.1376,0.1378,0.1381,"NA","NA","04078211"
"12",4,"Returned","AM","040","81610","81650",41,0.1423,0.1427,0.1422,"NA","NA","04081610"
"12",4,"Returned","AM","040","74849","74849",1,0.1377,"NA","NA","NA","NA","04074849"
"12",4,"Returned","AM","040","89066","89100",35,0.143,0.1435,0.143,"NA","NA","04089066"
"12",4,"Returned","ML","040","41671","41700",30,0.1281,0.1276,0.128,"NA","NA","04041671"
"12",4,"Returned","ML","040","41922","42000",79,0.1272,0.1264,0.1268,"NA","NA","04041922"
"12",4,"Returned","ML","040","42028","42100",73,0.1267,0.1259,0.127,"NA","NA","04042028"
"12",4,"Returned","ML","040","44427","44500",73,0.1276,0.1275,0.1279,"NA","NA","04044427"
"12",4,"Returned","ML","040","49612","49699",88,0.1247,0.1251,0.124,"NA","NA","04049612"
"12",4,"Returned","ML","040","49907","50000",94,0.125,0.1243,0.1246,"NA","NA","04049907"
"12",4,"Returned","ML","040","52511","52600",90,0.1253,0.1247,0.1242,"NA","NA","04052511"
"12",4,"Returned","ML","040","53401","53500",100,0.1246,0.1252,0.1255,"NA","NA","04053401"
"12",4,"Returned","ML","040","56084","56090",7,0.1235,0.1228,0.124,"NA","NA","04056084"
"12",4,"Returned","ML","040","57801","57900",100,0.121,0.1217,0.1219,"NA","NA","04057801"
"12",4,"Returned","IN","040","92220","92250",31,0.1686,0.1883,0.1878,"NA","NA","04092220"
"12",4,"Returned","IN","040","94611","94700",90,0.1627,0.1752,0.1761,"NA","NA","04094611"
"12",4,"Returned","IN","040","99925","99999",75,0.1798,0.1785,0.1785,"NA","NA","04099925"
"12",4,"Returned","IN","041","02082","02085",4,0.1806,0.1807,0.1788,"NA","NA","04102082"
"12",4,"Returned","IN","041","02087","02099",13,0.1847,0.1834,0.1846,"NA","NA","04102087"
"12",4,"Returned","IN","041","05712","05749",38,0.1835,0.1857,0.1806,"NA","NA","04105712"
"12",4,"Returned","IN","041","06961","07200",280,0.1801,0.1824,0.1818,"NA","NA","04106961"
"12",4,"Returned","IN","041","10806","10900",95,0.1806,0.1855,0.1832,"NA","NA","04110806"
"12",4,"Returned","IN","041","13066","13100",34,0.1788,0.1853,0.182,"NA","NA","04113066"
"12",4,"Returned","IN","041","17674","17700",27,0.1742,0.1674,0.1713,"NA","NA","04117674"
"12",4,"Returned","AY","040","30204","30300",96,0.1267,0.1265,0.1262,"NA","NA","04030204"
"12",4,"Returned","AY","040","75562","75590",29,0.1373,0.1373,0.1375,"NA","NA","04075562"
"12",4,"Returned","AY","041","16801","16950",150,0.1852,0.1793,0.1787,"NA","NA","04116801"
"12",4,"Returned","AY","041","19035","19050",16,0.0854,0.0855,0.0848,"NA","NA","04119035"
"12",4,"Returned","AY","041","20471","20500",30,0.085,0.844,0.0847,"NA","NA","04120471"
"12",4,"Returned","AY","041","20512","20550",39,0.0847,0.0858,0.0856,"NA","NA","04120512"
"12",4,"Returned","AY","041","27815","27847",31,0.0849,0.0842,0.0855,"NA","NA","04127815"
"12",4,"Returned","AY","041","30551","30600",50,0.0855,0.0848,0.0841,"NA","NA","04130551"
"12",4,"Returned","AY","041","50512","50600",89,0.0866,0.088,0.0879,"NA","NA","04150512"
"12",4,"Returned","AY","041","53001","53050",50,0.086,0.0865,0.0867,"NA","NA","04153001"
"12",4,"Returned","AY","041","72251","72350",100,0.0824,0.0814,0.0823,"NA","NA","04172251"
"12",4,"Returned","AY","041","80764","80850",87,0.0828,0.0819,0.0823,"NA","NA","04180764"
"13",5,"Returned","AY","051","89968","89978",11,0.105,0.104,0.1029,"NA","NA","05189968"
"13",5,"Returned","AY","052","04151","04200",50,0.1032,0.1045,0.1037,"NA","NA","05204151"
"13",5,"Returned","SS","052","12702","12750",49,0.2842,0.2846,0.2849,"NA","NA","05212702"
"13",5,"Returned","AY","053","01111","01199",89,0.1056,0.1048,0.1041,"NA","NA","05301111"
"8",6,"Returned","IN","060","54128","54200",73,0.3503,0.3493,0.3483,"NA","NA","06054128"
"8",6,"Returned","IN","061","45951","45990",40,0.2338,0.2351,0.2313,"NA","NA","06145951"
"8",6,"Returned","IN","061","43431","43500",70,0.2333,0.2304,0.2323,"NA","NA","06143431"
"8",6,"Returned","IN","061","43651","43950",89,0.2333,0.2319,0.2315,"NA","NA","06143651"
"8",6,"Returned","IN","061","95531","95600",69,0.1676,0.1669,0.1666,"NA","NA","06195531"
"8",6,"Returned","IN","061","31501","31512",12,0.6577,0.6567,0.6564,"NA","NA","06131501"
"8",6,"Returned","IN","061","42153","42200",48,0.2311,0.2314,0.2326,"NA","NA","06142153"
"8",6,"Returned","IN","061","86302","86350",49,0.2406,0.237,0.2422,"NA","NA","06186302"
"8",6,"Returned","IN","061","73148","73150",3,0.2318,0.2352,0.2322,"NA","NA","06173148"
"8",6,"Returned","IN","061","20212","20500",289,0.2325,0.2342,0.235,"NA","NA","06120212"
"8",6,"Returned","ML","060","53202","53240",39,0.3524,0.3503,0.3507,"NA","NA","06053202"
"8",6,"Returned","ML","060","55241","55300",60,0.3481,0.3476,0.3478,"NA","NA","06055241"
"8",6,"Returned","ML","060","59601","59700",100,0.3511,0.3527,0.3497,"NA","NA","06059601"
"8",6,"Returned","ML","060","68330","68349",19,0.3572,0.356,0.3565,"NA","NA","06068330"
