"PREFIX","LO_BAND","LO_BAND_FULL","HI_BAND","HI_BAND_FULL","ORDER_SIZE","METAL","SUPPLIER","QUOTE_NO","QUOTE_REQUEST","QUOTE_IN","ORDER_NO","DATE_BANDS_IN","Reference","Notes","Errors"
"280","15001","28015001","17000","28017000","02000","SS","Mekaniska",,"05/12/95","08/01/96","20496/96","13/06/96","Size 28 Bands.pdf",,
"280","17001","28017001","18000","28018000","01000","SS","MEK",,"02/11/11","03/11/11",63101002,"21/02/12","Size 28 Bands.pdf",,
"290",,,"06000","29006000",,"SS",,,,,,,"Size 29 Bands.pdf",,
"290","06001","29006001","07000","29007000","01000","SS",,"LAM011",,,,,"Size 29 Bands.pdf",,
"290","07001","29007001","09000","29009000","02000","SS",,"LAM012",,,"01/4665/92",,"Size 29 Bands.pdf",,
"290","09001","29009001","10000","29010000","01000","SS","Lambournes",,"22/09/94","17/10/94","1364/95","03/04/95","Size 29 Bands.pdf",,
"290","10001","29010001","11000","29011000","01000","SS","Lambournes",,"05/12/95","08/12/95","20222/96","11/04/96","Size 29 Bands.pdf",,
"300","00001","30000001","01000","30001000","01000","SS","Mekaniska",,"06/09/93","27/09/93","10252/94","05/07/94","Size 30 Bands.pdf",,
"310","00001","31000001","00200","31000200","00200","SS","DL",,"05/08/97","19/08/97","30069/98","07/10/07","Size 31 Bands.pdf",,
"310","00201","31000201","01000","31001000","00800","SS","DL",,"23/07/99",,,"11/10/99","Size 31 Bands.pdf",,
"320","00001","32000001","00200","32000200","00200","SS","DL",,"05/08/97","19/08/97","30069/98","07/10/97","Size 32 Bands.pdf",,
"320","00201","32000201","02000","32002000","01800","SS","DL",,"23/07/99",,,"11/10/99","Size 32 Bands.pdf",,
"320","02001","32002001","03000","32003000","01000","SS","DL",,"02/11/11","03/11/11",6572,"01/12/12","Size 32 Bands.pdf",,
"330","00001","33000001","00200","33000200","00200","SS","DL",,"05/08/97","19/08/97","30069/98","07/10/97","Size 33 Bands.pdf",,
"330","00201","33000201","02000","33002000","01800","SS","DL",,"23/07/99",,,"11/10/99","Size 33 Bands.pdf",,
"340","00001","34000001","00200","34000200","00200","SS","DL",,"05/08/97","19/08/97","30069-98","07/10/97","Size 34 Bands.pdf",,
"340","00201","34000201","01000","34001000","00800","SS","DL",,"23/07/99",,,"11/10/99","Size 34 Bands.pdf",,
"350","00001","35000001","01000","35001000","01000","AM","LAMB",,,,,"24/04/01","Size 35 Bands.pdf",,
"350","01001","35001001","02000","35002000","01000","AM","WT",,"24/09/02","02/10/02",45023056,"19/02/03","Size 35 Bands.pdf",,
"350","02001","35002001","03000","35003000","01000","SS","WT",,"20/10/06","21/10/06",45047987,"03/01/07","Size 35 Bands.pdf",,
"350","03001","35003001","04000","35004000","05000","SS","WT",,"29/10/07","30/10/07",45053441,"24/01/08","Size 35 Bands.pdf",,
"360","00001","36000001","01000","36001000","01000","SS","DL",,"09/01/06","10/01/06","Under 2000","17/02/06","Size 36 Bands.pdf",,
"360","01001","36001001","06000","36006000","05000","SS","DL",,"29/10/06",,,"18/06/07","Size 36 Bands.pdf",,
"370","00001","37000001","01000","37001000","01000","SS","MEK",,"20/10/06","24/10/06",45047989,"30/03/07","Size 37 Bands.pdf",,
"370","01001","37001001","06000","37006000","05000","SS","MEK",,"29/10/07","16/11/07",45053044,"03/06/08","Size 37 Bands.pdf",,
"380","00001","38000001","01000","38001000","01000","SS","MEK",,"20/10/06","24/10/06",45047989,"30/05/07","Size 38 Bands.pdf",,
"380","01001","38001001","06000","38006000","05000","SS","MEK",,"29/10/07","16/11/07",4505344,"03/06/08","Size 38 Bands.pdf",,
"_K0",,,"02000","_K002000",,,,"LAM/008",,,"PW1803/89","24/11/89","Size K Bands.pdf",,
"_K0","02001","_K002001","03000","_K003000","01000","AY","Lambournes",,"05/12/95","08/12/95","20222/96","11/04/96","Size K Bands.pdf",,
"_K0","03001","_K003001","05000","_K005000","02000","AY","Lambournes",,,"23/06/98","35136/99","01/02/99","Size K Bands.pdf",,
"_K0","05001","_K005001","06000","_K006000","01000","AY","Lambournes",,"12/04/99","30/09/99",100000830,"17/09/99","Size K Bands.pdf",,
"_K0","06001","_K006001","08000","_K008000","02000","AY","WT",,"24/09/02","02/10/02",45023056,"19/02/03","Size K Bands.pdf",,
"_K0","08001","_K008001","10000","_K010000","02000","AY","WT",,"07/11/03","20/11/03",45027702,,"Size K Bands.pdf",,
"_K0","10001","_K010001","12000","_K012000","02000","AY","WT",,"23/12/09",,"NA","02/06/10","Size K Bands.pdf",,
"_K0","12001","_K012001","13000","_K013000","01000","AY","WT",,"02/11/11","03/01/12",,"01/02/12","Size K Bands.pdf",,
"_K0","13001","_K013001","15000","_K015000","02000","AY","WT",,,,,"17/02/14","Size K Bands.pdf",,
"_K0","15001","_K015001","18000","_K018000","03000","AY","WT",,"17/10/14",,,,"Size K Bands.pdf",,
"_K0","18001","_K018001","23000","_K023000","05000","AY","WT",,"03/11/15","10/11/15",,"10/02/16","Size K Bands.pdf",,
"W",,,"00300","W00300",,,,,,,,"03/11/97","Size W Bands.pdf","Field 'date' on pg 2 taken to be 'DATE_BANDS_IN'",
"_00","10001","_0010001","12000","_0012000","02000","AY","Lambournes",,"12/06/98","30/04/99",100000830,"17/09/99","BAT Size 00 Bands.pdf",,
"_00","12001","_0012001","21000","_0021000","09000","AY","LAMB",,"04/04/00",,,,"BAT Size 00 Bands.pdf",,
"_10","10001","_1010001","12000","_1012000","02000","AY","Lambournes",,"12/06/98","23/11/98","35136/99","17/02/99","BAT Size 01 Bands.pdf",,
"_10","12001","_1012001","22000","_1022000","10000","AY","LAMB",,"04/04/00",,,"19/09/00","BAT Size 01 Bands.pdf",,
"_20",,,"72000","_2072000",,,,"LAM/008","PW1803/89",,,"14/10/88","BAT Size 02 Bands.pdf","Field 'date' on pg 2 taken to be 'DATE_BANDS_IN'",
"_20","72001","_2072001","74000","_2074000","02000","AY","LAMBOURNES",,"12/06/98","23/06/98","35136/99","01/02/99","BAT Size 02 Bands.pdf",,
"_20","74001","_2074001","79000","_2079000","05000","AY","LAMBOURNES",,"12/04/99","30/04/99",100000830,"17/09/99","BAT Size 02 Bands.pdf",,
"_20","79001","_2079001","86000","_2086000","07000","AY","LAMB",,"04/04/00","10/04/00",,"19/09/00","BAT Size 02 Bands.pdf",,
"_20","86001","_2086001","96000","_2096000","10000","AY","WT",,"27/07/01","30/09/01",100004029,"21/02/02","BAT Size 02 Bands.pdf",,
"_20","96001","_2096001","98000","_2098000","02000","AY","WT",,"07/11/03","20/11/03",45027702,"02/02/04","BAT Size 02 Bands.pdf",,
"_20","98001","_2098001","99999","_2099999","02000","AY","WT",,"17/10/14",,,,"BAT Size 02 Bands.pdf",,
"_21","00001","_2100001","02000","_2102000","02000","AY","WT",,"17/10/14",,,,"BAT Size 02 Bands.pdf",,
"_21","02001","_2102001","07000","_2107000","05000","AY","WT",,"03/11/15","10/11/15",,"10/02/16","BAT Size 02 Bands.pdf",,
"_30","05001","_3005001","07000","_3007000","02000","IN","LAMBOURNES",,"12/06/98","30/04/99",100000830,"17/09/99","BAT Size 03 Bands.pdf",,
"_30","07001","_3007001","16000","_3016000","09000","IN","LAMB",,"04/04/00",,,,"BAT Size 03 Bands.pdf",,
"_31",,,,,"00005",,"DL",,"05/08/97","19/08/97","30069/98","07/10/97","Applicators.pdf",,
"_32",,,,,"00005",,"DL",,"05/08/97","19/08/97","30069/98","07/10/97","Applicators.pdf",,
"_33",,,,,"00005",,"DL",,"05/08/97","19/08/97","30069/98","07/10/97","Applicators.pdf",,
"_34",,,,,"00005",,"DL",,"05/08/97","19/08/97","30069/98","07/10/97","Applicators.pdf",,
"_32",,,,,"00002",,"DL",,"23/07/99",,,,"Applicators.pdf",,
"_33",,,,,"00002",,"DL",,"23/07/99",,,,"Applicators.pdf",,
"_34",,,,,"00002",,"DL",,"23/07/99",,,,"Applicators.pdf",,
"_36",,,,,"00002",,"DL",,"29/10/07",,,,"Applicators.pdf",,
"pliers_large",,,,,"00006",,"Lambournes",,"14/12/96","04/12/96","26499/97","19/05/97","Pliers Large.pdf",,
"pliers_large",,,,,"00006",,"Lambournes",,"30/09/97","03/10/97","30771/98","27/03/98","Pliers Large.pdf",,
"pliers_large",,,,,"00006",,"Lambournes",,"12/06/98","23/06/98","35136/99","17/02/99","Pliers Large.pdf",,
"pliers_large",,,,,"00012",,"Lambournes",,"12/04/99","30/09/99",100000830,"17/09/99","Pliers Large.pdf",,
"pliers_large",,,,,"00012",,"WETLANDS",,"16/08/01","20/08/01","-","11/10/01","Pliers Large.pdf",,
"pliers_large",,,,,"00024",,"WT",,"24/09/02","02/10/02",45023056,"14/02/03","Pliers Large.pdf",,
"pliers_large",,,,,"00009",,"WT",,"07/11/03","20/11/03","NOT FILLED",,"Pliers Large.pdf",,
"pliers_large",,,,,"00010",,"WT",,8,8,,"01/04/09","Pliers Large.pdf",,
"pliers_large",,,,,"00030",,"Porzana",,"07/12/10","07/12/10",1897,"00-06-11","Pliers Large.pdf",,
"pliers_large",,,,,"00010",,"WT",,,,,"06/02/14","Pliers Large.pdf",,
"pliers_large",,,,,"00010",,"WT",,"22/10/14",,,,"Pliers Large.pdf",,
"pliers_large",,,,,"00010",,"WT",,"03/11/15",,,"10/02/16","Pliers Large.pdf",,
"pliers_small",,,,,"00030",,"Lambournes",,"05/12/95","08/12/95","20222/96","11/04/96","Pliers Small.pdf",,
"pliers_small",,,,,"00006",,"Lambournes",,"04/12/96","04/12/96","26499/97","19/05/97","Pliers Small.pdf",,
"pliers_small",,,,,"00024",,"Lambournes",,"30/09/97","03/10/97","30771/98","27/03/98","Pliers Small.pdf",,
"pliers_small",,,,,"00006",,"LAMB",,"12/06/98","23/06/98","35136/99","17/02/99","Pliers Small.pdf",,
"pliers_small",,,,,"00012",,"Lambournes",,"12/04/99","30/04/99",100000830,"17/09/99","Pliers Small.pdf",,
"pliers_small",,,,,"00012",,"WETLANDS",,"16/08/01","20/08/01","-","11/10/01","Pliers Small.pdf",,
"pliers_small",,,,,"00020",,"WT",,"24/09/02","02/10/02",45023056,"19/02/03","Pliers Small.pdf",,
"pliers_small",,,,,"00011",,"WT",,"07/11/03","20/11/03","NOT FILLED",,"Pliers Small.pdf",,
"pliers_small",,,,,"00010",,"WT",,"29/10/07","30/10/07",45053441,"24/01/08","Pliers Small.pdf",,
"pliers_small",,,,,"00030",,"Porzana",,"07/12/10","07/12/10",1897,"17/06/11","Pliers Small.pdf",,
"pliers_small",,,,,"00015",,"WT-Porzana",,,,,,"Pliers Small.pdf",,
"pliers_small",,,,,"00010",,"WT-Porzana",,,,,"06/02/14","Pliers Small.pdf",,
"pliers_small",,,,,"00010",,"WT",,"22/10/14",,,,"Pliers Small.pdf",,
"pliers_small",,,,,"00010",,"WT",,"03/11/15",,,"10/02/16","Pliers Small.pdf",,
