"Box","Size","IssueState","Metals","Batch","startNum","endNum","numInPacket","measuredMass","lookupNum","issueYear","bandMetal_fromManufactureRecords","bandMetal_BACKFILLED","groupInit","groupSD","groupMedian","type","typeMedian","typeMean","typeSD","sizeMetal","sizeMetalMedian","sizeMetalMean","sizeMetalSD"
"5",1,"Returned","AY",15,12406,12500,95,0.0419,1512406,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,18901,19000,100,0.0418,1518901,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,87078,87100,23,0.0381,1587078,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,99910,99999,90,0.0399,1599910,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,701,800,100,0.0378,1500701,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,6819,6900,82,0.0381,1506819,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,12406,12500,95,0.0423,1512406,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,18901,19000,100,0.0417,1518901,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,87078,87100,23,0.0386,1587078,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,99910,99999,90,0.0377,1599910,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,701,800,100,NA,1500701,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,6819,6900,82,NA,1506819,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,12406,12500,95,NA,1512406,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,18901,19000,100,NA,1518901,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,87078,87100,23,NA,1587078,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,99910,99999,90,NA,1599910,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,701,800,100,NA,1500701,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,6819,6900,82,NA,1506819,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,12406,12500,95,NA,1512406,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,18901,19000,100,NA,1518901,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,87078,87100,23,NA,1587078,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,99910,99999,90,NA,1599910,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,2101,2200,100,0.0387,1602101,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,35060,35100,41,0.0371,1635060,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,62001,62010,10,0.0436,1662001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,67904,68000,97,0.0436,1667904,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,68001,68010,10,0.0434,1668001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,69517,69600,84,0.0431,1669517,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,71735,71797,63,0.0439,1671735,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,72001,72010,10,0.0436,1672001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,75461,75500,40,0.0435,1675461,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,78001,78010,10,0.0431,1678001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,80284,80299,16,0.0438,1680284,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,80301,80400,100,0.0437,1680301,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,81801,82000,200,0.0432,1681801,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,84001,84010,10,0.0434,1684001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,88001,88010,10,0.0432,1688001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,92001,92010,10,0.0432,1692001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,92552,92600,49,0.043,1692552,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,94001,94010,10,0.0435,1694001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,96001,96010,10,0.0434,1696001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"NR",1,"Retained","AY",16,98001,98010,10,0.0431,1698001,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,2101,2200,100,0.0387,1602101,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",16,35060,35100,41,0.0374,1635060,NA,NA,"AY",NA,NA,NA,"AY 16",0.0434,0.042945,0.00161218085792012,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
